"","station_name","station_id","station_operator","prov","lat","lon","elev","climate_id","WMO_id","TC_id","date","year","month","day","qual","cool_deg_days","cool_deg_days_flag","dir_max_gust","dir_max_gust_flag","heat_deg_days","heat_deg_days_flag","max_temp","max_temp_flag","mean_temp","mean_temp_flag","min_temp","min_temp_flag","snow_grnd","snow_grnd_flag","spd_max_gust","spd_max_gust_flag","total_precip","total_precip_flag","total_rain","total_rain_flag","total_snow","total_snow_flag"
"1","SQUAMISH AIRPORT",336,NA,"BC",49.78,-123.16,53.7,"10476F0","71207","WSK",2017-11-01,"2017","11","01","",0,"",NA,"",9.7,"",12.9,"",8.3,"",3.7,"",NA,"",NA,"",0.2,"",NA,"M",NA,"M"
"2","SQUAMISH AIRPORT",336,NA,"BC",49.78,-123.16,53.7,"10476F0","71207","WSK",2017-11-02,"2017","11","02","",0,"",31,"",13,"",9.7,"",5,"",0.2,"",NA,"",65,"",15.3,"",NA,"M",NA,"M"
"3","SQUAMISH AIRPORT",336,NA,"BC",49.78,-123.16,53.7,"10476F0","71207","WSK",2017-11-03,"2017","11","03","",0,"",32,"",17,"",3.4,"",1,"",-1.4,"",NA,"",67,"",0,"",NA,"M",NA,"M"
"4","SQUAMISH AIRPORT",336,NA,"BC",49.78,-123.16,53.7,"10476F0","71207","WSK",2017-11-04,"2017","11","04","",0,"",NA,"",19.3,"",1.3,"",-1.3,"",-3.8,"",NA,"",NA,"",0,"",NA,"M",NA,"M"
"5","SQUAMISH AIRPORT",336,NA,"BC",49.78,-123.16,53.7,"10476F0","71207","WSK",2017-11-05,"2017","11","05","",0,"",32,"",15.8,"",5.1,"",2.2,"",-0.7,"",NA,"",65,"",0,"",NA,"M",NA,"M"
"6","SQUAMISH AIRPORT",336,NA,"BC",49.78,-123.16,53.7,"10476F0","71207","WSK",2017-11-06,"2017","11","06","",0,"",32,"",17.4,"",5.4,"",0.6,"",-4.2,"",NA,"",39,"",0,"",NA,"M",NA,"M"
"7","SQUAMISH AIRPORT",336,NA,"BC",49.78,-123.16,53.7,"10476F0","71207","WSK",2017-11-07,"2017","11","07","",0,"",NA,"",15.9,"",5.7,"",2.1,"",-1.5,"",NA,"",NA,"",0,"",NA,"M",NA,"M"
"8","SQUAMISH AIRPORT",336,NA,"BC",49.78,-123.16,53.7,"10476F0","71207","WSK",2017-11-08,"2017","11","08","",0,"",NA,"",12.9,"",10,"",5.1,"",0.1,"",NA,"",NA,"",0,"",NA,"M",NA,"M"
"9","SQUAMISH AIRPORT",336,NA,"BC",49.78,-123.16,53.7,"10476F0","71207","WSK",2017-11-09,"2017","11","09","",0,"",NA,"",12.9,"",7.2,"",5.1,"",2.9,"",NA,"",NA,"",1.4,"",NA,"M",NA,"M"
"10","SQUAMISH AIRPORT",336,NA,"BC",49.78,-123.16,53.7,"10476F0","71207","WSK",2017-11-10,"2017","11","10","",0,"",NA,"",10.3,"",12.2,"",7.7,"",3.2,"",NA,"",NA,"",0,"",NA,"M",NA,"M"
"11","SQUAMISH AIRPORT",336,NA,"BC",49.78,-123.16,53.7,"10476F0","71207","WSK",2017-11-11,"2017","11","11","",0,"",NA,"",12.8,"",7.1,"",5.2,"",3.2,"",NA,"",NA,"",10.3,"",NA,"M",NA,"M"
"12","SQUAMISH AIRPORT",336,NA,"BC",49.78,-123.16,53.7,"10476F0","71207","WSK",2017-11-12,"2017","11","12","",0,"",NA,"",12.9,"",5.8,"",5.1,"",4.4,"",NA,"",NA,"",39.6,"",NA,"M",NA,"M"
"13","SQUAMISH AIRPORT",336,NA,"BC",49.78,-123.16,53.7,"10476F0","71207","WSK",2017-11-13,"2017","11","13","",0,"",19,"",10.9,"",10.3,"",7.1,"",3.8,"",NA,"",48,"",38.8,"",NA,"M",NA,"M"
"14","SQUAMISH AIRPORT",336,NA,"BC",49.78,-123.16,53.7,"10476F0","71207","WSK",2017-11-14,"2017","11","14","",0,"",NA,"",12.5,"",8,"",5.5,"",2.9,"",NA,"",NA,"",70.2,"",NA,"M",NA,"M"
